Nome,produto,prazo entrega,contato
Apiário Vale Dourado,Complementos,7 dias úteis,contato@apiáriovaledourado.com.br
Atacadista Local,"Secos, Confeitaria, Molhos, Perecíveis",2 dias úteis,contato@atacadistalocal.com.br
Chocolates Cacau Norte,Confeitaria,7 dias úteis,contato@chocolatescacaunorte.com.br
Cozinha da Casa,"Secos, Molhos",7 dias úteis,contato@cozinhadacasa.com.br
Distribuidora Central,Secos,7 dias úteis,contato@distribuidoracentral.com.br
Distribuidora Natural,"Laticínios / Alternativos, Complementos",2 dias úteis,contato@distribuidoranatural.com.br
Embalagens EcoPack,Embalagens,5 dias úteis,contato@embalagensecopack.com.br
Fornecedor Local,Operação,7 dias úteis,contato@fornecedorlocal.com.br
Granja Boa Aurora,Perecíveis,2 dias úteis,contato@granjaboaaurora.com.br
Hortifruti Central,Hortifruti,2 dias úteis,contato@hortifruticentral.com.br
Hortifruti Raiz,Hortifruti,2 dias úteis,contato@hortifrutiraiz.com.br
Laticínios Vale Verde,Laticínios,2 dias úteis,contato@laticíniosvaleverde.com.br
Padaria Parceira,Perecíveis,2 dias úteis,contato@padariaparceira.com.br
Torrefação Serra Clara,Café,7 dias úteis,contato@torrefacaoserraclara.com.br
